timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning,time_sec
291556000,291556000,4196000,47.39797105772898,8.546163739800146,26.505505,0.9465494,-7.067353,0.0,0.0,0.0,3.4927778,4.074859,-3.060926,0.0,0.0,0.0,0.0,-2.6782742,-2.8019524,0.08073456,-0.026199637,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.7
291576000,291576000,4196000,47.39797105772898,8.546163739800146,26.574251,1.0269035,-7.128523,0.0,0.0,0.0,3.437374,4.017706,-3.058513,0.0,0.0,0.0,0.0,-2.7701905,-2.8576756,0.12065195,-0.030763455,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.72
291596000,291596000,4196000,47.39797105772898,8.546163739800146,26.641882,1.1060859,-7.189634,0.0,0.0,0.0,3.3815112,3.9591196,-3.0555284,0.0,0.0,0.0,0.0,-2.793147,-2.9293158,0.14922903,-0.03497157,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.74
291616000,291616000,4196000,47.39797105772898,8.546163739800146,26.708366,1.1840835,-7.250674,0.0,0.0,0.0,3.3242676,3.899878,-3.051997,0.0,0.0,0.0,0.0,-2.8621802,-2.962068,0.17656906,-0.038807083,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.76
291636000,291636000,4196000,47.39797105772898,8.546163739800146,26.7737,1.2608658,-7.311633,0.0,0.0,0.0,3.26666,3.839115,-3.0479755,0.0,0.0,0.0,0.0,-2.8803785,-3.0381634,0.20107472,-0.042273864,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.78
291656000,291656000,4196000,47.39797105772898,8.546163739800146,26.837856,1.3364215,-7.3725038,0.0,0.0,0.0,3.2078211,3.777789,-3.0435245,0.0,0.0,0.0,0.0,-2.941944,-3.06629,0.22255236,-0.045359377,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8
291676000,291676000,4196000,47.39797105772898,8.546163739800146,26.900826,1.4107293,-7.4332767,0.0,0.0,0.0,3.1484435,3.7153878,-3.0386617,0.0,0.0,0.0,0.0,-2.9688752,-3.120065,0.24313442,-0.048065376,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.82
291696000,291696000,4196000,47.39797105772898,8.546163739800146,26.962587,1.4837871,-7.493949,0.0,0.0,0.0,3.0881212,3.6528876,-3.0336041,0.0,0.0,0.0,0.0,-3.0161238,-3.1250021,0.2528792,-0.050386563,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.84
291716000,291716000,4196000,47.39797105772898,8.546163739800146,27.023134,1.5555731,-7.554512,0.0,0.0,0.0,3.0273519,3.5893047,-3.0281637,0.0,0.0,0.0,0.0,-3.0384653,-3.17915,0.27201903,-0.0523289,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.86
291736000,291736000,4196000,47.39797105772898,8.546163739800146,27.082462,1.6260796,-7.614963,0.0,0.0,0.0,2.9663246,3.5253222,-3.022545,0.0,0.0,0.0,0.0,-3.0513616,-3.199126,0.280929,-0.053902876,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.88
